City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Alfred,ZA,-33.5906,26.891,57.18,95,100,3.0,overcast clouds
1,Hammerfest,NO,70.6634,23.6821,43.25,100,75,17.27,broken clouds
2,Namibe,AO,-15.1961,12.1522,63.46,84,89,9.75,overcast clouds
3,Barinas,VE,8.6226,-70.2075,87.46,57,96,6.44,overcast clouds
4,Lorengau,PG,-2.0226,147.2712,80.01,78,68,3.29,broken clouds
5,Charleston,US,32.7766,-79.9309,84.36,80,0,8.01,clear sky
6,Rikitea,PF,-23.1203,-134.9692,72.07,69,75,16.84,broken clouds
7,Busselton,AU,-33.65,115.3333,51.91,87,100,9.98,light rain
8,Locri,IT,38.2414,16.2623,68.32,76,8,1.25,clear sky
9,Mataura,NZ,-46.1927,168.8643,46.47,71,100,2.98,moderate rain
10,Itaituba,BR,-4.2761,-55.9836,94.93,33,98,7.58,overcast clouds
11,Albany,US,42.6001,-73.9662,80.89,74,91,1.01,overcast clouds
12,San Quintin,MX,30.4833,-115.95,72.25,63,0,13.82,clear sky
13,Aklavik,CA,68.2191,-135.0107,52.11,59,92,12.75,overcast clouds
14,Georgetown,MY,5.4112,100.3354,80.53,84,20,0.0,few clouds
15,Ouadda,CF,8.0777,22.4007,68.99,94,100,2.82,overcast clouds
16,Bluff,NZ,-46.6,168.3333,46.8,70,100,10.22,moderate rain
17,Bethel,US,41.3712,-73.414,84.88,61,80,1.99,broken clouds
18,Punta Arenas,CL,-53.15,-70.9167,43.29,59,4,7.85,clear sky
19,Bredasdorp,ZA,-34.5322,20.0403,48.6,89,44,4.14,light rain
20,Te Anau,NZ,-45.4167,167.7167,43.95,96,100,2.17,overcast clouds
21,Adrar,MR,20.5022,-10.0711,91.33,23,46,7.02,scattered clouds
22,Port Elizabeth,ZA,-33.918,25.5701,55.69,95,20,16.11,light rain
23,Lompoc,US,34.6391,-120.4579,75.85,54,20,17.27,few clouds
24,Bambous Virieux,MU,-20.3428,57.7575,71.85,78,40,12.66,light rain
25,Torbay,CA,47.6666,-52.7314,57.27,79,57,10.0,broken clouds
26,Coromandel,BR,-18.4733,-47.2003,83.98,32,56,2.42,broken clouds
27,Lanzhou,CN,36.0564,103.7922,65.16,80,100,5.61,overcast clouds
28,Fortuna,US,40.5982,-124.1573,62.92,89,100,3.0,light rain
29,Bethanien,NA,-26.502,17.1583,49.3,61,1,13.29,clear sky
30,Aitape,PG,-3.1374,142.3475,76.5,86,16,4.43,few clouds
31,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.6,59,1,15.86,clear sky
32,Lahaina,US,20.8783,-156.6825,85.8,76,64,6.17,broken clouds
33,Husavik,IS,66.0449,-17.3389,49.17,70,22,4.85,few clouds
34,Taoudenni,ML,22.6783,-3.9836,97.7,15,25,8.3,scattered clouds
35,Biltine,TD,14.5333,20.9167,84.13,58,30,7.49,scattered clouds
36,Qaanaaq,GL,77.484,-69.3632,24.87,56,0,7.94,clear sky
37,Upernavik,GL,72.7868,-56.1549,37.83,74,99,5.19,overcast clouds
38,Hilo,US,19.7297,-155.09,84.25,86,48,1.01,scattered clouds
39,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,87,16,3.38,few clouds
40,Sitka,US,57.0531,-135.33,55.29,100,100,4.61,overcast clouds
41,Pacific Grove,US,36.6177,-121.9166,63.01,82,100,17.72,light rain
42,Bathsheba,BB,13.2167,-59.5167,85.01,72,22,14.07,few clouds
43,Maceio,BR,-9.6658,-35.7353,78.24,78,40,11.5,scattered clouds
44,Novoagansk,RU,61.9449,76.6625,49.17,94,100,11.48,overcast clouds
45,Matay,EG,28.419,30.7792,82.8,25,0,6.76,clear sky
46,Arlit,NE,18.7369,7.3853,95.58,25,100,5.39,overcast clouds
47,Grindavik,IS,63.8424,-22.4338,48.67,93,100,28.77,light intensity drizzle rain
48,Zambezi,ZM,-13.5432,23.1047,73.83,41,37,5.66,scattered clouds
49,Esperance,AU,-33.8667,121.9,51.67,91,59,6.67,broken clouds
50,Karwar,IN,14.8,74.1333,76.32,86,100,2.89,overcast clouds
51,Geraldton,AU,-28.7667,114.6,59.41,82,100,14.97,overcast clouds
52,Shaunavon,CA,49.6501,-108.4181,70.23,23,46,10.04,scattered clouds
53,Barrow,US,71.2906,-156.7887,38.39,87,100,16.42,overcast clouds
54,Nishihara,JP,26.1842,127.7558,79.88,89,75,18.41,broken clouds
55,Mahebourg,MU,-20.4081,57.7,71.89,78,40,12.66,scattered clouds
56,General Roca,AR,-39.0333,-67.5833,44.62,64,100,17.87,overcast clouds
57,New Norfolk,AU,-42.7826,147.0587,48.7,79,99,1.99,light rain
58,Carnarvon,AU,-24.8667,113.6333,64.49,59,0,20.47,clear sky
59,Rio Gallegos,AR,-51.6226,-69.2181,47.41,45,0,14.85,clear sky
60,Ostrovnoy,RU,68.0531,39.5131,46.81,97,100,5.99,overcast clouds
61,Samarai,PG,-10.6167,150.6667,80.96,82,90,14.07,overcast clouds
62,Karratha,AU,-20.7377,116.8463,68.97,61,0,13.78,light rain
63,Hobart,AU,-42.8794,147.3294,49.05,86,100,6.91,overcast clouds
64,Ushuaia,AR,-54.8,-68.3,44.26,65,0,10.36,clear sky
65,Hermanus,ZA,-34.4187,19.2345,50.81,73,83,9.48,light rain
66,Dolores,AR,-36.3132,-57.6792,65.26,56,100,12.3,overcast clouds
67,Souillac,MU,-20.5167,57.5167,71.98,78,40,12.66,scattered clouds
68,Sioux Lookout,CA,50.1001,-91.917,60.19,85,100,6.96,overcast clouds
69,Tasiilaq,GL,65.6145,-37.6368,46.56,93,100,22.68,moderate rain
70,Imeni Poliny Osipenko,RU,52.4201,136.4853,50.04,98,100,6.08,light rain
71,Sazonovo,RU,59.0919,35.2268,48.49,89,100,4.41,overcast clouds
72,Kearney,US,40.6995,-99.0815,78.71,65,75,13.8,broken clouds
73,Constitucion,CL,-35.3333,-72.4167,53.04,52,1,16.31,clear sky
74,Kaitangata,NZ,-46.2817,169.8464,48.4,68,99,3.67,overcast clouds
75,Whitehorse,CA,60.7161,-135.0538,53.1,46,13,4.76,few clouds
76,Batsfjord,NO,70.6345,29.7185,46.33,100,100,13.8,mist
77,Airai,TL,-8.9266,125.4092,58.53,51,99,2.73,overcast clouds
78,Mahibadhoo,MV,3.7833,72.9667,81.79,70,100,8.1,overcast clouds
79,Kapaa,US,22.0752,-159.319,83.12,79,50,5.01,scattered clouds
80,Dubbo,AU,-32.25,148.6167,41.13,100,99,0.0,overcast clouds
81,Shingu,JP,33.7333,135.9833,79.56,94,100,17.56,light rain
82,Pevek,RU,69.7008,170.3133,32.63,97,100,18.16,light snow
83,Denpasar,ID,-8.65,115.2167,78.46,88,20,4.61,few clouds
84,Thompson,CA,55.7435,-97.8558,55.56,94,100,0.0,mist
85,Urubamba,PE,-13.3047,-72.1158,77.9,51,54,11.32,broken clouds
86,Corn Island,NI,12.1694,-83.0418,82.51,72,100,7.52,overcast clouds
87,Margate,GB,51.3813,1.3862,57.87,70,100,8.01,overcast clouds
88,Cidreira,BR,-30.1811,-50.2056,63.72,73,39,22.64,scattered clouds
89,Katsuura,JP,35.1333,140.3,79.27,91,67,18.12,broken clouds
90,Tuatapere,NZ,-46.1333,167.6833,48.13,83,100,7.74,overcast clouds
91,Ibra,OM,22.6906,58.5334,82.94,56,0,6.53,clear sky
92,Morgan City,US,29.6994,-91.2068,91.0,58,58,5.44,broken clouds
93,Hami,CN,42.8,93.45,68.07,16,16,8.48,few clouds
94,Madera,US,37.1666,-119.8343,75.52,27,89,13.56,light rain
95,Hamilton,US,39.1834,-84.5333,85.87,52,40,12.66,scattered clouds
96,Goderich,CA,43.7501,-81.7165,74.91,72,4,9.73,clear sky
97,Marawi,PH,7.9986,124.2928,68.23,90,100,4.43,overcast clouds
98,Road Town,VG,18.4167,-64.6167,80.69,87,100,28.54,light rain
99,Clermont,FR,49.5,2.4167,55.71,63,100,8.68,overcast clouds
100,Yerbogachen,RU,61.2767,108.0108,41.34,88,100,7.72,overcast clouds
101,Grenfell,AU,-33.9,148.1667,42.24,91,97,4.54,overcast clouds
102,Saint-Philippe,RE,-21.3585,55.7679,71.19,83,55,13.51,light rain
103,Laguna,US,38.421,-121.4238,77.09,44,100,26.46,overcast clouds
104,Vaini,TO,-21.2,-175.2,73.56,88,75,11.5,broken clouds
105,Nata,PA,8.3333,-80.5167,80.47,92,100,10.16,overcast clouds
106,Sabalgarh,IN,26.25,77.4,79.41,65,6,3.8,clear sky
107,Cherskiy,RU,68.75,161.3,33.62,68,100,2.75,overcast clouds
108,East London,ZA,-33.0153,27.9116,59.56,89,100,8.48,moderate rain
109,Atuona,PF,-9.8,-139.0333,76.98,74,7,22.32,clear sky
110,Butaritari,KI,3.0707,172.7902,80.83,78,11,13.8,light rain
111,Sorland,NO,67.667,12.6934,49.86,84,100,32.53,overcast clouds
112,Kodiak,US,57.79,-152.4072,54.91,82,100,6.91,overcast clouds
113,Kamareddi,IN,18.3167,78.35,72.93,90,100,7.02,overcast clouds
114,Fukue,JP,32.6881,128.8419,77.99,90,100,48.61,light rain
115,Clyde River,CA,70.4692,-68.5914,35.96,81,100,4.23,overcast clouds
116,Jalu,LY,29.0331,21.5482,85.44,20,0,6.96,clear sky
117,Abeche,TD,13.8292,20.8324,80.04,68,90,4.18,overcast clouds
118,Caravelas,BR,-17.7125,-39.2481,71.53,70,56,8.03,broken clouds
119,Gwadar,PK,25.1216,62.3254,80.02,81,3,8.9,clear sky
120,Chokurdakh,RU,70.6333,147.9167,31.12,76,12,7.05,few clouds
121,Muroto,JP,33.2833,134.15,81.34,88,100,40.76,overcast clouds
122,Kjollefjord,NO,70.9457,27.3465,46.45,93,100,13.8,light rain
123,Kavieng,PG,-2.5744,150.7967,80.83,79,44,10.89,light rain
124,Lukulu,ZM,-14.3707,23.242,77.61,28,62,3.56,broken clouds
125,Malazgirt,TR,39.1427,42.5401,66.76,24,0,3.13,clear sky
126,Kruisfontein,ZA,-34.0033,24.7314,52.57,85,100,8.63,light rain
127,Mount Gambier,AU,-37.8333,140.7667,43.38,93,7,5.28,clear sky
128,Beringovskiy,RU,63.05,179.3167,38.91,86,100,9.15,overcast clouds
129,Puerto Ayora,EC,-0.7393,-90.3518,76.96,80,70,5.01,broken clouds
130,Yumen,CN,40.2833,97.2,66.16,38,100,11.36,overcast clouds
131,Burns Lake,CA,54.2331,-125.7533,59.23,38,100,4.03,overcast clouds
132,Lebu,CL,-37.6167,-73.65,48.99,57,11,8.95,few clouds
133,Port Blair,IN,11.6667,92.75,81.36,80,100,17.76,overcast clouds
134,Mingshui,CN,36.7167,117.5,60.78,78,81,2.98,broken clouds
135,Tuktoyaktuk,CA,69.4541,-133.0374,44.53,78,93,7.49,overcast clouds
136,De-Kastri,RU,51.4667,140.7833,57.2,97,94,9.28,overcast clouds
137,Noumea,NC,-22.2763,166.4572,73.0,99,0,6.42,clear sky
138,Jamestown,US,42.097,-79.2353,77.52,51,100,9.22,overcast clouds
139,Portland,US,45.5234,-122.6762,80.47,48,20,6.91,few clouds
140,Avarua,CK,-21.2078,-159.775,78.85,78,20,6.91,few clouds
141,Nikolskoye,RU,59.7035,30.7861,47.79,83,100,1.05,overcast clouds
142,Alugan,PH,12.2188,125.4808,78.39,88,100,5.61,heavy intensity rain
143,Marsh Harbour,BS,26.5412,-77.0636,84.7,66,100,10.36,overcast clouds
144,Kuching,MY,1.55,110.3333,73.62,100,40,2.3,scattered clouds
