City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Acapulco,MX,2022-09-12 22:24:37,16.8634,-99.8901,85.82,66,75,8.05
1,East London,ZA,2022-09-12 22:29:13,-33.0153,27.9116,57.29,63,15,10.69
2,Kapaa,US,2022-09-12 22:29:14,22.0752,-159.319,85.19,69,0,11.5
3,Biak,ID,2022-09-12 22:29:14,-0.9131,122.8766,74.55,87,20,5.75
4,Astoria,US,2022-09-12 22:29:14,46.1879,-123.8313,69.69,71,100,6.91
5,Ballina,AU,2022-09-12 22:29:15,-28.8667,153.5667,63.79,82,24,9.95
6,Nikolskoye,RU,2022-09-12 22:29:15,59.7035,30.7861,51.69,79,97,3.71
7,Makakilo City,US,2022-09-12 22:29:15,21.3469,-158.0858,86.32,57,100,12.66
8,Havre-Saint-Pierre,CA,2022-09-12 22:29:16,50.2334,-63.5986,57.56,94,40,3.44
9,Narsaq,GL,2022-09-12 22:29:16,60.9167,-46.05,46.62,77,100,1.88
10,Atuona,PF,2022-09-12 22:29:16,-9.8,-139.0333,76.6,77,19,18.52
11,Busselton,AU,2022-09-12 22:29:16,-33.65,115.3333,56.41,82,66,23.22
12,Te Anau,NZ,2022-09-12 22:29:17,-45.4167,167.7167,42.55,88,98,5.01
13,Punta Arenas,CL,2022-09-12 22:29:17,-53.15,-70.9167,46.51,49,0,5.75
14,Kayasula,RU,2022-09-12 22:29:17,44.325,45.0,66.2,84,14,13.18
15,Upernavik,GL,2022-09-12 22:29:18,72.7868,-56.1549,39.97,98,100,2.26
16,Rikitea,PF,2022-09-12 22:29:18,-23.1203,-134.9692,72.97,68,80,3.36
17,Tiksi,RU,2022-09-12 22:29:18,71.6872,128.8694,34.99,79,31,4.7
18,Bluff,NZ,2022-09-12 22:29:18,-46.6,168.3333,44.8,73,100,17.92
19,Eureka,US,2022-09-12 22:29:19,40.8021,-124.1637,85.75,77,68,1.99
20,Geraldton,AU,2022-09-12 22:29:19,-28.7667,114.6,63.01,63,75,20.71
21,Ushuaia,AR,2022-09-12 22:29:19,-54.8,-68.3,44.26,57,20,3.44
22,Bambous Virieux,MU,2022-09-12 22:29:20,-20.3428,57.7575,69.22,77,40,8.05
23,Nanortalik,GL,2022-09-12 22:29:20,60.1432,-45.2371,43.02,94,23,8.59
24,Barrow,US,2022-09-12 22:29:20,71.2906,-156.7887,37.42,93,100,19.57
25,Esperance,AU,2022-09-12 22:29:20,-33.8667,121.9,61.72,58,14,15.1
26,Chepo,PA,2022-09-12 22:29:21,9.1667,-79.1,84.0,89,98,4.5
27,Kruisfontein,ZA,2022-09-12 22:29:21,-34.0033,24.7314,49.89,79,0,9.46
28,Vila Franca Do Campo,PT,2022-09-12 22:29:21,37.7167,-25.4333,73.2,84,68,9.66
29,Pedernales,DO,2022-09-12 22:29:22,18.0384,-71.744,84.52,69,93,2.71
30,New Norfolk,AU,2022-09-12 22:29:22,-42.7826,147.0587,44.92,85,55,2.51
31,Port Elizabeth,ZA,2022-09-12 22:29:22,-33.918,25.5701,54.32,76,0,12.66
32,Cansahcab,MX,2022-09-12 22:29:22,21.1667,-89.1,82.29,78,100,4.88
33,Mataura,NZ,2022-09-12 22:29:23,-46.1927,168.8643,44.47,94,100,2.62
34,Hearst,CA,2022-09-12 22:25:02,49.6835,-83.6665,71.85,56,79,0.29
35,Yellowknife,CA,2022-09-12 22:29:23,62.456,-114.3525,50.56,62,20,10.36
36,Avarua,CK,2022-09-12 22:29:23,-21.2078,-159.775,78.85,69,20,19.57
37,Maamba,ZM,2022-09-12 22:29:24,-17.3667,27.15,71.31,22,0,3.47
38,Katsuura,JP,2022-09-12 22:29:24,35.1333,140.3,77.5,89,97,11.97
39,Tasiilaq,GL,2022-09-12 22:29:24,65.6145,-37.6368,53.76,53,1,7.38
40,Cayenne,GF,2022-09-12 22:27:05,4.9333,-52.3333,82.44,74,10,3.44
41,Tezu,IN,2022-09-12 22:29:24,27.9167,96.1667,73.04,98,85,2.71
42,Vaini,TO,2022-09-12 22:29:25,-21.2,-175.2,80.76,74,20,8.05
43,Adrar,MR,2022-09-12 22:29:25,20.5022,-10.0711,97.97,20,39,5.35
44,Hami,CN,2022-09-12 22:29:25,42.8,93.45,70.5,34,98,4.56
45,Tenenkou,ML,2022-09-12 22:29:26,14.4572,-4.9169,75.31,80,100,11.05
46,Thompson,CA,2022-09-12 22:30:26,55.7435,-97.8558,55.56,47,75,13.8
47,Sterling,US,2022-09-12 22:30:14,39.0062,-77.4286,76.28,92,75,3.44
48,Dunedin,NZ,2022-09-12 22:30:06,-45.8742,170.5036,44.8,76,100,5.99
49,Khuzdar,PK,2022-09-12 22:30:26,27.7384,66.6434,74.48,56,81,2.55
50,Codrington,AU,2022-09-12 22:30:27,-38.2667,141.9667,48.2,67,99,2.57
51,Amga,RU,2022-09-12 22:30:27,60.8953,131.9608,46.08,59,70,7.25
52,Murgab,TM,2022-09-12 22:30:27,37.4966,61.9714,57.07,54,0,6.91
53,Hermanus,ZA,2022-09-12 22:30:28,-34.4187,19.2345,49.8,73,3,5.06
54,Paks,HU,2022-09-12 22:30:28,46.6265,18.8596,57.33,64,2,7.05
55,Castro,BR,2022-09-12 22:30:28,-24.7911,-50.0119,55.9,99,85,3.11
56,Owando,CG,2022-09-12 22:30:28,-0.4819,15.8999,72.61,84,84,3.09
57,Gizo,SB,2022-09-12 22:30:29,-8.103,156.8419,83.07,65,7,6.46
58,Fagernes,NO,2022-09-12 22:30:29,60.9858,9.2324,54.91,99,100,1.23
59,Georgetown,MY,2022-09-12 22:30:29,5.4112,100.3354,78.89,92,20,3.44
60,Butaritari,KI,2022-09-12 22:30:30,3.0707,172.7902,82.36,71,7,9.95
61,Bethel,US,2022-09-12 22:30:30,41.3712,-73.414,78.91,77,93,1.01
62,Saskylakh,RU,2022-09-12 22:30:30,71.9167,114.0833,34.66,98,97,9.33
63,Kodiak,US,2022-09-12 22:30:30,57.79,-152.4072,58.51,58,20,10.36
64,Albany,US,2022-09-12 22:29:45,42.6001,-73.9662,76.68,82,72,2.84
65,Verkhnyaya Inta,RU,2022-09-12 22:30:31,65.9811,60.3094,45.3,93,100,16.17
66,Chokurdakh,RU,2022-09-12 22:30:31,70.6333,147.9167,39.54,88,100,8.3
67,Puerto Ayora,EC,2022-09-12 22:26:53,-0.7393,-90.3518,75.16,98,90,5.01
68,Longyearbyen,SJ,2022-09-12 22:30:31,78.2186,15.6401,30.04,69,75,11.5
69,Iqaluit,CA,2022-09-12 22:30:13,63.7506,-68.5145,44.33,87,75,15.01
70,Kawalu,ID,2022-09-12 22:30:32,-7.3817,108.2082,70.95,98,74,1.07
71,Mareeba,AU,2022-09-12 22:30:32,-17.0,145.4333,74.48,81,25,5.46
72,Bredasdorp,ZA,2022-09-12 22:30:32,-34.5322,20.0403,46.85,82,4,5.26
73,Poum,NC,2022-09-12 22:30:33,-20.2333,164.0167,77.7,74,100,12.73
74,Lobito,AO,2022-09-12 22:30:33,-12.3481,13.5456,69.71,86,48,6.76
75,Sanary-Sur-Mer,FR,2022-09-12 22:30:33,43.1178,5.8001,72.88,78,27,2.37
76,Constantine,DZ,2022-09-12 22:30:34,36.365,6.6147,80.01,36,0,6.91
77,Carnarvon,AU,2022-09-12 22:30:34,-24.8667,113.6333,67.48,70,11,19.57
78,Lichtenfels,DE,2022-09-12 22:30:34,50.1457,11.0593,57.13,89,76,1.01
79,Charyshskoye,RU,2022-09-12 22:30:34,51.3978,83.5598,43.61,94,100,1.66
80,Bismarck,US,2022-09-12 22:29:08,46.8083,-100.7837,89.44,21,0,10.36
81,Hamilton,US,2022-09-12 22:27:53,39.1834,-84.5333,70.43,59,100,11.5
82,Cherskiy,RU,2022-09-12 22:30:35,68.75,161.3,38.44,96,100,6.06
83,Cuamba,MZ,2022-09-12 22:30:35,-14.8031,36.5372,73.67,38,48,4.7
84,Lavrentiya,RU,2022-09-12 22:30:36,65.5833,-171.0,44.2,98,100,5.3
85,Torbay,CA,2022-09-12 22:30:36,47.6666,-52.7314,59.29,97,100,10.36
86,Caravelas,BR,2022-09-12 22:30:36,-17.7125,-39.2481,69.94,77,1,5.3
87,Betsiamites,CA,2022-09-12 22:30:37,48.9413,-68.646,73.8,86,22,1.86
88,Kavieng,PG,2022-09-12 22:30:37,-2.5744,150.7967,83.98,66,62,11.65
89,Ribeira Grande,PT,2022-09-12 22:30:37,38.5167,-28.7,74.03,88,90,2.33
90,Cabra,ES,2022-09-12 22:27:58,37.4725,-4.4421,77.04,51,100,10.56
91,Jamestown,US,2022-09-12 22:25:48,42.097,-79.2353,69.53,71,20,8.05
92,Hasaki,JP,2022-09-12 22:30:38,35.7333,140.8333,72.28,87,94,10.63
93,Kirakira,SB,2022-09-12 22:30:38,-10.4544,161.9205,78.24,88,67,7.31
94,Grand Baie,MU,2022-09-12 22:30:38,-20.0182,57.5802,69.46,70,57,3.0
95,Lagoa,PT,2022-09-12 22:31:39,39.05,-27.9833,71.02,82,84,7.29
96,Airai,TL,2022-09-12 22:31:39,-8.9266,125.4092,66.47,49,68,3.04
97,Tekeli,KZ,2022-09-12 22:31:39,44.83,78.8239,47.3,44,70,5.23
98,Krasnoselkup,RU,2022-09-12 22:31:40,65.7,82.4667,35.82,87,94,8.79
99,Kirkwood,US,2022-09-12 22:27:43,38.5834,-90.4068,79.59,43,75,12.66
100,Souillac,MU,2022-09-12 22:31:40,-20.5167,57.5167,68.38,77,40,8.05
101,Bonthe,SL,2022-09-12 22:31:40,7.5264,-12.505,76.41,88,19,8.05
102,Port Alfred,ZA,2022-09-12 22:31:41,-33.5906,26.891,50.18,87,0,5.99
103,Camacha,PT,2022-09-12 22:31:41,33.0833,-16.3333,71.02,73,40,13.8
104,Tuktoyaktuk,CA,2022-09-12 22:31:41,69.4541,-133.0374,41.0,87,100,10.36
105,Port Lincoln,AU,2022-09-12 22:30:36,-34.7333,135.8667,55.58,79,30,17.0
106,Beidao,CN,2022-09-12 22:31:41,34.5686,105.8933,63.68,79,100,2.93
107,Ilulissat,GL,2022-09-12 22:31:42,69.2167,-51.1,46.42,81,75,11.5
108,Luderitz,NA,2022-09-12 22:31:42,-26.6481,15.1594,63.46,32,26,16.93
109,Sitka,US,2022-09-12 22:31:42,57.0531,-135.33,57.09,77,100,8.05
110,Yulara,AU,2022-09-12 22:31:43,-25.2406,130.9889,64.87,51,0,12.17
111,Faanui,PF,2022-09-12 22:31:43,-16.4833,-151.75,77.94,77,79,19.98
112,Akom,CM,2022-09-12 22:31:43,2.6678,12.7109,66.15,93,62,2.68
113,Cape Town,ZA,2022-09-12 22:27:35,-33.9258,18.4232,57.27,70,20,11.5
114,Bunia,CD,2022-09-12 22:31:43,1.5667,30.25,63.12,96,100,2.86
115,Myre,NO,2022-09-12 22:31:44,69.1036,15.9492,45.34,70,96,8.25
116,Touros,BR,2022-09-12 22:31:44,-5.1989,-35.4608,76.1,76,20,15.19
117,Lompoc,US,2022-09-12 22:31:29,34.6391,-120.4579,78.57,67,0,16.11
118,Rosario,AR,2022-09-12 22:29:22,-32.9468,-60.6393,66.94,27,0,6.91
119,Yokadouma,CM,2022-09-12 22:31:44,3.5167,15.05,68.38,94,67,1.72
120,Valdosta,US,2022-09-12 22:31:45,30.8327,-83.2785,83.91,81,40,8.05
121,Sibolga,ID,2022-09-12 22:31:45,1.7427,98.7792,75.24,88,65,2.51
122,Asheboro,US,2022-09-12 22:26:49,35.7079,-79.8136,82.04,92,100,4.61
123,Talnakh,RU,2022-09-12 22:31:45,69.4865,88.3972,33.21,94,100,3.91
124,Atar,MR,2022-09-12 22:31:46,20.5169,-13.0499,96.13,33,61,3.91
125,Crotone,IT,2022-09-12 22:31:46,39.0851,17.1178,70.2,54,0,8.43
126,Pangnirtung,CA,2022-09-12 22:31:46,66.1451,-65.7125,48.2,81,75,4.61
127,Sakhon Nakhon,TH,2022-09-12 22:31:46,17.1612,104.1472,74.01,89,47,0.83
128,Salalah,OM,2022-09-12 22:31:47,17.0151,54.0924,78.89,100,75,3.44
129,Fort Nelson,CA,2022-09-12 22:31:47,58.8053,-122.7002,63.99,36,40,2.3
130,Loknya,RU,2022-09-12 22:31:47,56.83,30.1467,46.92,98,100,3.42
